name,longitude,latitude,key,lifeStage,stateProvince,year
"Necturus maculosus (Rafinesque, 1818)",-75.678538,44.964782,3031699629,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-79.145697,43.061927,3031702625,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678461,44.964792,3031911586,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-79.004109,43.19227,3032008585,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-83.789999,46.44503,3415387148,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678308,44.964828,3039286628,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678255,44.964757,3039330597,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678337,44.964798,3039434535,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678237,44.964958,3039508570,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678301,44.964717,3044813742,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678207,44.964751,3044949746,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.626323,44.965506,3058685761,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-84.61217,45.273306,3058694780,NA,Michigan,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678358,44.964828,3058836855,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.678345,44.964727,3059132472,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-87.002892,41.621963,3079901124,NA,Indiana,2021
"Necturus maculosus (Rafinesque, 1818)",-79.147698,41.906819,3079921724,NA,Pennsylvania,2021
"Necturus maculosus (Rafinesque, 1818)",-75.645659,45.475905,3090520231,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.738136,45.314367,3090634237,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.751024,45.415658,3090680227,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.717797,45.379105,3090758568,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.716342,45.257147,3090804238,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.784674,45.484995,3090849216,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-79.075484,41.318766,3097275022,NA,Pennsylvania,2021
"Necturus maculosus (Rafinesque, 1818)",-83.829853,35.755668,3112925311,NA,Tennessee,2021
"Necturus maculosus (Rafinesque, 1818)",-77.283366,43.914581,3124770121,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-80.410897,45.985119,3124812652,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-79.68167,43.452389,3302525539,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-81.115997,41.688005,3407956456,NA,Ohio,2021
"Necturus maculosus (Rafinesque, 1818)",-91.283629,43.811113,3302113386,NA,Wisconsin,2021
"Necturus maculosus (Rafinesque, 1818)",-83.156384,42.304453,3307125675,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-83.026986,42.322922,3307223839,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-75.90669,44.38442,3307225992,Adult,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-91.288805,45.248312,3320847928,NA,Wisconsin,2021
"Necturus maculosus (Rafinesque, 1818)",-74.006122,45.195624,3321143021,Adult,Québec,2021
"Necturus maculosus (Rafinesque, 1818)",-91.279718,45.332846,3321205900,NA,Wisconsin,2021
"Necturus maculosus (Rafinesque, 1818)",-80.921841,44.025205,3325783879,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-83.79242,35.684392,3328030796,NA,Tennessee,2021
"Necturus maculosus (Rafinesque, 1818)",-77.845665,46.195805,3330917476,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-79.986875,44.855973,3333194468,NA,Ontario,2021
"Necturus maculosus (Rafinesque, 1818)",-81.363932,44.902037,3333396292,Adult,Ontario,2021
